ID,IP/CIDR,Scanner Name,Scanner Type,Source File,Country Code,Country Name,ISP,Organization,RDAP Name,RDAP Handle,RDAP CIDR,RDAP Registry,Start Address,End Address,IP Version,RDAP Type,Parent Handle,Event Registration,Event Last Changed,ASN,AS Name,Reverse DNS,Abuse Confidence Score,Abuse Reports,Usage Type,Domain,Last Seen,First Seen,Tags,Notes,Risk Level,Export Date,Abuse Email,Tech Email
,104.237.151.205,,,,US,United States,"Akamai Technologies, Inc.",LINODE,LINODE,NET-104-237-128-0-2,,whois.arin.net,104.237.128.0,104.237.159.255,v4,ASSIGNMENT,NET-104-237-128-0-1,2022-12-21T10:35:19-05:00,2023-09-18T10:37:31-04:00,AS63949 Akamai Connected Cloud,Akamai Connected Cloud,dev12client01.academyforinternetresearch.org,0,0,,,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,,
,139.162.119.12,,,,JP,Japan,"Akamai Technologies, Inc.",EU-LINODE-20141229,EU-LINODE-20141229,139.162.0.0 - 139.162.255.255,,whois.ripe.net,139.162.0.0,139.162.255.255,v4,LEGACY,0.0.0.0 - 255.255.255.255,2004-02-02T16:20:09Z,2022-12-12T21:26:29Z,AS63949 Akamai Connected Cloud,Akamai Connected Cloud,prod42client01.academyforinternetresearch.org,0,0,,,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,abuse@linode.com,
,139.162.119.146,,,,JP,Japan,"Akamai Technologies, Inc.",EU-LINODE-20141229,EU-LINODE-20141229,139.162.0.0 - 139.162.255.255,,whois.ripe.net,139.162.0.0,139.162.255.255,v4,LEGACY,0.0.0.0 - 255.255.255.255,2004-02-02T16:20:09Z,2022-12-12T21:26:29Z,AS63949 Akamai Connected Cloud,Akamai Connected Cloud,prod55client01.academyforinternetresearch.org,0,0,,prod55client01.academyforinternetresearch.org,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,abuse@linode.com,
,139.162.119.196,,,,JP,Japan,"Akamai Technologies, Inc.",EU-LINODE-20141229,EU-LINODE-20141229,139.162.0.0 - 139.162.255.255,,whois.ripe.net,139.162.0.0,139.162.255.255,v4,LEGACY,0.0.0.0 - 255.255.255.255,2004-02-02T16:20:09Z,2022-12-12T21:26:29Z,AS63949 Akamai Connected Cloud,Akamai Connected Cloud,prod56client01.academyforinternetresearch.org,0,0,,prod56client01.academyforinternetresearch.org,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,abuse@linode.com,
,139.162.119.49,,,,JP,Japan,"Akamai Technologies, Inc.",EU-LINODE-20141229,EU-LINODE-20141229,139.162.0.0 - 139.162.255.255,,whois.ripe.net,139.162.0.0,139.162.255.255,v4,LEGACY,0.0.0.0 - 255.255.255.255,2004-02-02T16:20:09Z,2022-12-12T21:26:29Z,AS63949 Akamai Connected Cloud,Akamai Connected Cloud,prod43client01.academyforinternetresearch.org,0,0,,prod43client01.academyforinternetresearch.org,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,abuse@linode.com,
,139.162.119.51,,,,JP,Japan,"Akamai Technologies, Inc.",EU-LINODE-20141229,EU-LINODE-20141229,139.162.0.0 - 139.162.255.255,,whois.ripe.net,139.162.0.0,139.162.255.255,v4,LEGACY,0.0.0.0 - 255.255.255.255,2004-02-02T16:20:09Z,2022-12-12T21:26:29Z,AS63949 Akamai Connected Cloud,Akamai Connected Cloud,prod44client01.academyforinternetresearch.org,0,0,,prod44client01.academyforinternetresearch.org,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,abuse@linode.com,
,139.162.119.94,,,,JP,Japan,"Akamai Technologies, Inc.",EU-LINODE-20141229,EU-LINODE-20141229,139.162.0.0 - 139.162.255.255,,whois.ripe.net,139.162.0.0,139.162.255.255,v4,LEGACY,0.0.0.0 - 255.255.255.255,2004-02-02T16:20:09Z,2022-12-12T21:26:29Z,AS63949 Akamai Connected Cloud,Akamai Connected Cloud,prod57client01.academyforinternetresearch.org,0,0,,prod57client01.academyforinternetresearch.org,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,abuse@linode.com,
,139.162.124.188,,,,JP,Japan,"Akamai Technologies, Inc.",EU-LINODE-20141229,EU-LINODE-20141229,139.162.0.0 - 139.162.255.255,,whois.ripe.net,139.162.0.0,139.162.255.255,v4,LEGACY,0.0.0.0 - 255.255.255.255,2004-02-02T16:20:09Z,2022-12-12T21:26:29Z,AS63949 Akamai Connected Cloud,Akamai Connected Cloud,prod16tokyo.academyforinternetresearch.org,0,0,,prod16tokyo.academyforinternetresearch.org,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,abuse@linode.com,
,172.232.188.177,,,,US,United States,"Akamai Technologies, Inc.",LINODE,LINODE,NET-172-232-0-0-1,,whois.arin.net,172.232.0.0,172.239.255.255,v4,ASSIGNMENT,NET-172-224-0-0-1,2023-02-24T04:34:19-05:00,2023-09-18T10:39:19-04:00,AS63949 Akamai Connected Cloud,Akamai Connected Cloud,prod05.academyforinternetresearch.org,0,0,,prod05.academyforinternetresearch.org,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,abuse@linode.com,support@linode.com
,172.233.172.43,,,,US,United States,"Akamai Technologies, Inc.",LINODE,LINODE,NET-172-232-0-0-1,,whois.arin.net,172.232.0.0,172.239.255.255,v4,ASSIGNMENT,NET-172-224-0-0-1,2023-02-24T04:34:19-05:00,2023-09-18T10:39:19-04:00,AS63949 Akamai Connected Cloud,Akamai Connected Cloud,dev03server02.academyforinternetresearch.org,0,0,,dev03server02.academyforinternetresearch.org,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,abuse@linode.com,support@linode.com
,172.233.190.104,,,,US,United States,"Akamai Technologies, Inc.",LINODE,LINODE,NET-172-232-0-0-1,,whois.arin.net,172.232.0.0,172.239.255.255,v4,ASSIGNMENT,NET-172-224-0-0-1,2023-02-24T04:34:19-05:00,2023-09-18T10:39:19-04:00,AS63949 Akamai Connected Cloud,Akamai Connected Cloud,prod37client02.academyforinternetresearch.org,0,0,,prod37client02.academyforinternetresearch.org,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,abuse@linode.com,support@linode.com
,172.233.195.143,,,,US,United States,"Akamai Technologies, Inc.",LINODE,LINODE,NET-172-232-0-0-1,,whois.arin.net,172.232.0.0,172.239.255.255,v4,ASSIGNMENT,NET-172-224-0-0-1,2023-02-24T04:34:19-05:00,2023-09-18T10:39:19-04:00,AS63949 Akamai Connected Cloud,Akamai Connected Cloud,prod38client01.academyforinternetresearch.org,0,0,,prod38client01.academyforinternetresearch.org,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,abuse@linode.com,support@linode.com
,172.234.207.202,,,,US,United States,"Akamai Technologies, Inc.",LINODE,LINODE,NET-172-232-0-0-1,,whois.arin.net,172.232.0.0,172.239.255.255,v4,ASSIGNMENT,NET-172-224-0-0-1,2023-02-24T04:34:19-05:00,2023-09-18T10:39:19-04:00,AS63949 Akamai Connected Cloud,Akamai Connected Cloud,prod01.academyforinternetresearch.org,0,0,,prod01.academyforinternetresearch.org,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,abuse@linode.com,support@linode.com
,172.234.218.10,,,,US,United States,"Akamai Technologies, Inc.",LINODE,LINODE,NET-172-232-0-0-1,,whois.arin.net,172.232.0.0,172.239.255.255,v4,ASSIGNMENT,NET-172-224-0-0-1,2023-02-24T04:34:19-05:00,2023-09-18T10:39:19-04:00,AS63949 Akamai Connected Cloud,Akamai Connected Cloud,prod39client01.academyforinternetresearch.org,0,0,,prod39client01.academyforinternetresearch.org,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,abuse@linode.com,support@linode.com
,172.234.246.109,,,,US,United States,"Akamai Technologies, Inc.",LINODE,LINODE,NET-172-232-0-0-1,,whois.arin.net,172.232.0.0,172.239.255.255,v4,ASSIGNMENT,NET-172-224-0-0-1,2023-02-24T04:34:19-05:00,2023-09-18T10:39:19-04:00,AS63949 Akamai Connected Cloud,Akamai Connected Cloud,dev09client01.academyforinternetresearch.org,0,0,,dev09client01.academyforinternetresearch.org,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,abuse@linode.com,support@linode.com
,172.236.233.65,,,,US,United States,"Akamai Technologies, Inc.",LINODE,LINODE,NET-172-232-0-0-1,,whois.arin.net,172.232.0.0,172.239.255.255,v4,ASSIGNMENT,NET-172-224-0-0-1,2023-02-24T04:34:19-05:00,2023-09-18T10:39:19-04:00,AS63949 Akamai Connected Cloud,Akamai Connected Cloud,prod06.academyforinternetresearch.org,0,0,,prod06.academyforinternetresearch.org,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,abuse@linode.com,support@linode.com
,178.79.148.229,,,,GB,United Kingdom,Linode,LINODE-UK,LINODE-UK,178.79.144.0 - 178.79.151.255,,whois.ripe.net,178.79.144.0,178.79.151.255,v4,ASSIGNED PA,178.79.128.0 - 178.79.191.255,2010-11-15T15:57:05Z,2010-11-15T15:57:05Z,AS63949 Akamai Connected Cloud,Akamai Connected Cloud,academyforinternetresearch.org,0,0,,academyforinternetresearch.org,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,abuse@linode.com,
,198.74.57.47,,,,US,United States,"Akamai Technologies, Inc.",LINODE,LINODE,NET-198-74-48-0-2,,whois.arin.net,198.74.48.0,198.74.63.255,v4,ASSIGNMENT,NET-198-74-48-0-1,2022-12-21T11:04:10-05:00,2023-09-18T10:40:35-04:00,AS63949 Akamai Connected Cloud,Akamai Connected Cloud,prod32client01.academyforinternetresearch.org,0,0,,prod32client01.academyforinternetresearch.org,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,,
,45.33.28.47,,,,,,,LINODE,LINODE,NET-45-33-0-0-2,,whois.arin.net,45.33.0.0,45.33.127.255,v4,ASSIGNMENT,NET-45-33-0-0-1,2022-12-21T10:16:01-05:00,2023-09-18T10:35:02-04:00,,,dev06.academyforinternetresearch.org,0,0,,dev06.academyforinternetresearch.org,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,,
,45.33.65.249,,,,,,,LINODE,LINODE,NET-45-33-0-0-2,,whois.arin.net,45.33.0.0,45.33.127.255,v4,ASSIGNMENT,NET-45-33-0-0-1,2022-12-21T10:16:01-05:00,2023-09-18T10:35:02-04:00,,,academyforinternetresearch.org,0,0,,academyforinternetresearch.org,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,,
,45.33.69.253,,,,,,,LINODE,LINODE,NET-45-33-0-0-2,,whois.arin.net,45.33.0.0,45.33.127.255,v4,ASSIGNMENT,NET-45-33-0-0-1,2022-12-21T10:16:01-05:00,2023-09-18T10:35:02-04:00,,,dev08client07.academyforinternetresearch.org,0,0,,dev08client07.academyforinternetresearch.org,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,,
,45.33.73.58,,,,,,,LINODE,LINODE,NET-45-33-0-0-2,,whois.arin.net,45.33.0.0,45.33.127.255,v4,ASSIGNMENT,NET-45-33-0-0-1,2022-12-21T10:16:01-05:00,2023-09-18T10:35:02-04:00,,,prod01server02.academyforinternetresearch.org,0,0,,prod01server02.academyforinternetresearch.org,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,,
,45.56.101.170,,,,,,,LINODE,LINODE,NET-45-56-64-0-2,,whois.arin.net,45.56.64.0,45.56.127.255,v4,ASSIGNMENT,NET-45-56-64-0-1,2022-12-21T10:17:32-05:00,2023-09-18T10:35:17-04:00,,,dev14clientintel01.academyforinternetresearch.org,0,0,,dev14clientintel01.academyforinternetresearch.org,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,,
,45.56.103.133,,,,,,,LINODE,LINODE,NET-45-56-64-0-2,,whois.arin.net,45.56.64.0,45.56.127.255,v4,ASSIGNMENT,NET-45-56-64-0-1,2022-12-21T10:17:32-05:00,2023-09-18T10:35:17-04:00,,,prod33client01.academyforinternetresearch.org,0,0,,prod33client01.academyforinternetresearch.org,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,,
,45.56.103.154,,,,,,,LINODE,LINODE,NET-45-56-64-0-2,,whois.arin.net,45.56.64.0,45.56.127.255,v4,ASSIGNMENT,NET-45-56-64-0-1,2022-12-21T10:17:32-05:00,2023-09-18T10:35:17-04:00,,,prod34client01.academyforinternetresearch.org,0,0,,prod34client01.academyforinternetresearch.org,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,,
,45.79.102.191,,,,,,,LINODE,LINODE,NET-45-79-0-0-2,,whois.arin.net,45.79.0.0,45.79.255.255,v4,ASSIGNMENT,NET-45-79-0-0-1,2022-12-21T10:18:22-05:00,2023-09-18T10:35:28-04:00,,,dev10client01.academyforinternetresearch.org,0,0,,dev10client01.academyforinternetresearch.org,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,,
,45.79.190.208,,,,,,,LINODE,LINODE,NET-45-79-0-0-2,,whois.arin.net,45.79.0.0,45.79.255.255,v4,ASSIGNMENT,NET-45-79-0-0-1,2022-12-21T10:18:22-05:00,2023-09-18T10:35:28-04:00,,,prod35client02.academyforinternetresearch.org,0,0,,prod35client02.academyforinternetresearch.org,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,,
,45.79.190.216,,,,,,,LINODE,LINODE,NET-45-79-0-0-2,,whois.arin.net,45.79.0.0,45.79.255.255,v4,ASSIGNMENT,NET-45-79-0-0-1,2022-12-21T10:18:22-05:00,2023-09-18T10:35:28-04:00,,,prod40client02.academyforinternetresearch.org,0,0,,prod40client02.academyforinternetresearch.org,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,,
,66.175.208.166,,,,,,,LINODE,LINODE,NET-66-175-208-0-2,,whois.arin.net,66.175.208.0,66.175.223.255,v4,ASSIGNMENT,NET-66-175-208-0-1,2022-12-21T10:20:29-05:00,2023-09-18T10:35:53-04:00,,,dev07.academyforinternetresearch.org,0,0,,dev07.academyforinternetresearch.org,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,,
,69.164.207.173,,,,,,,LINODE,LINODE,NET-69-164-192-0-2,,whois.arin.net,69.164.192.0,69.164.223.255,v4,ASSIGNMENT,NET-69-164-192-0-1,2022-12-21T10:30:48-05:00,2023-09-18T10:36:17-04:00,,,prod36client01.academyforinternetresearch.org,0,0,,prod36client01.academyforinternetresearch.org,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,,
,69.164.213.157,,,,,,,LINODE,LINODE,NET-69-164-192-0-2,,whois.arin.net,69.164.192.0,69.164.223.255,v4,ASSIGNMENT,NET-69-164-192-0-1,2022-12-21T10:30:48-05:00,2023-09-18T10:36:17-04:00,,,dev01.academyforinternetresearch.org,0,0,,dev01.academyforinternetresearch.org,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,,
,96.126.117.80,,,,,,,LINODE,LINODE,NET-96-126-96-0-2,,whois.arin.net,96.126.96.0,96.126.127.255,v4,ASSIGNMENT,NET-96-126-96-0-1,2022-12-21T10:33:21-05:00,2023-09-18T10:36:56-04:00,,,prod02.academyforinternetresearch.org,0,0,,prod02.academyforinternetresearch.org,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,,
,97.107.140.120,,,,,,,LINODE,LINODE,NET-97-107-128-0-2,,whois.arin.net,97.107.128.0,97.107.143.255,v4,ASSIGNMENT,NET-97-107-128-0-1,2022-12-21T10:33:53-05:00,2023-09-18T10:37:09-04:00,,,prod04.academyforinternetresearch.org,0,0,,prod04.academyforinternetresearch.org,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,,
,185.200.118.32,,,,,,,M247-LTD-London,M247-LTD-London,185.200.118.0 - 185.200.118.255,,whois.ripe.net,185.200.118.0,185.200.118.255,v4,LIR-PARTITIONED PA,185.200.116.0 - 185.200.119.255,2017-04-24T09:06:54Z,2017-04-24T09:06:54Z,,,adscore.com,0,0,,adscore.com,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,abuse@m247.ro,abuse@m247.ro
,185.200.118.34,,,,,,,M247-LTD-London,M247-LTD-London,185.200.118.0 - 185.200.118.255,,whois.ripe.net,185.200.118.0,185.200.118.255,v4,LIR-PARTITIONED PA,185.200.116.0 - 185.200.119.255,2017-04-24T09:06:54Z,2017-04-24T09:06:54Z,,,adscore.com,0,0,,adscore.com,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,abuse@m247.ro,abuse@m247.ro
,185.200.118.35,,,,,,,M247-LTD-London,M247-LTD-London,185.200.118.0 - 185.200.118.255,,whois.ripe.net,185.200.118.0,185.200.118.255,v4,LIR-PARTITIONED PA,185.200.116.0 - 185.200.119.255,2017-04-24T09:06:54Z,2017-04-24T09:06:54Z,,,adscore.com,0,0,,adscore.com,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,abuse@m247.ro,abuse@m247.ro
,185.200.118.36,,,,,,,M247-LTD-London,M247-LTD-London,185.200.118.0 - 185.200.118.255,,whois.ripe.net,185.200.118.0,185.200.118.255,v4,LIR-PARTITIONED PA,185.200.116.0 - 185.200.119.255,2017-04-24T09:06:54Z,2017-04-24T09:06:54Z,,,adscore.com,0,0,,adscore.com,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,abuse@m247.ro,abuse@m247.ro
,185.200.118.37,,,,,,,M247-LTD-London,M247-LTD-London,185.200.118.0 - 185.200.118.255,,whois.ripe.net,185.200.118.0,185.200.118.255,v4,LIR-PARTITIONED PA,185.200.116.0 - 185.200.119.255,2017-04-24T09:06:54Z,2017-04-24T09:06:54Z,,,adscore.com,0,0,,adscore.com,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,abuse@m247.ro,abuse@m247.ro
,185.200.118.38,,,,,,,M247-LTD-London,M247-LTD-London,185.200.118.0 - 185.200.118.255,,whois.ripe.net,185.200.118.0,185.200.118.255,v4,LIR-PARTITIONED PA,185.200.116.0 - 185.200.119.255,2017-04-24T09:06:54Z,2017-04-24T09:06:54Z,,,adscore.com,0,0,,adscore.com,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,abuse@m247.ro,abuse@m247.ro
,185.200.118.39,,,,,,,M247-LTD-London,M247-LTD-London,185.200.118.0 - 185.200.118.255,,whois.ripe.net,185.200.118.0,185.200.118.255,v4,LIR-PARTITIONED PA,185.200.116.0 - 185.200.119.255,2017-04-24T09:06:54Z,2017-04-24T09:06:54Z,,,adscore.com,0,0,,adscore.com,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,abuse@m247.ro,abuse@m247.ro
,185.200.118.40,,,,,,,M247-LTD-London,M247-LTD-London,185.200.118.0 - 185.200.118.255,,whois.ripe.net,185.200.118.0,185.200.118.255,v4,LIR-PARTITIONED PA,185.200.116.0 - 185.200.119.255,2017-04-24T09:06:54Z,2017-04-24T09:06:54Z,,,adscore.com,0,0,,adscore.com,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,abuse@m247.ro,abuse@m247.ro
,185.200.118.41,,,,,,,M247-LTD-London,M247-LTD-London,185.200.118.0 - 185.200.118.255,,whois.ripe.net,185.200.118.0,185.200.118.255,v4,LIR-PARTITIONED PA,185.200.116.0 - 185.200.119.255,2017-04-24T09:06:54Z,2017-04-24T09:06:54Z,,,adscore.com,0,0,,adscore.com,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,abuse@m247.ro,abuse@m247.ro
,185.200.118.42,,,,,,,M247-LTD-London,M247-LTD-London,185.200.118.0 - 185.200.118.255,,whois.ripe.net,185.200.118.0,185.200.118.255,v4,LIR-PARTITIONED PA,185.200.116.0 - 185.200.119.255,2017-04-24T09:06:54Z,2017-04-24T09:06:54Z,,,adscore.com,0,0,,adscore.com,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,abuse@m247.ro,abuse@m247.ro
